Casos
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
2.0
2.0
2.0
2.0
3.0
4.0
6.0
8.0
13.0
19.0
22.0
26.0
39.0
39.0
63.0
99.0
114.0
156.0
172.0
190.0
221.0
240.0
266.0
286.0
331.0
377.0
396.0
415.0
429.0
444.0
467.0
501.0
522.0
553.0
566.0
593.0
605.0
615.0
624.0
655.0
668.0
671.0
693.0
714.0
725.0
726.0
752.0
777.0
795.0
809.0
818.0
836.0
867.0
881.0
893.0
901.0
910.0
921.0
935.0
937.0
952.0
961.0
971.0
972.0
977.0
987.0
992.0
997.0
1010.0
1016.0
1031.0
1037.0
1040.0
1047.0
1054.0
1056.0
1056.0
1060.0
1063.0
1069.0
1072.0
1081.0
1082.0
1088.0
1088.0
1089.0
1102.0
1107.0
1123.0
1153.0
1185.0
1210.0
1284.0
1293.0
1302.0
1315.0
1335.0
1352.0
1363.0
1363.0
1385.0
1397.0
1423.0
1435.0
1440.0
1452.0
1461.0
1465.0
1476.0
1479.0
1486.0
1501.0
1504.0
1507.0
1520.0
1533.0
1545.0
1555.0
1563.0
1578.0
1587.0
1589.0
1592.0
1600.0
1606.0
1609.0
1612.0
1620.0
1627.0
1631.0
1634.0
1643.0
1657.0
1683.0
1687.0
1743.0
1762.0
1782.0
1806.0
1829.0
1865.0
1891.0
1934.0
1942.0
1992.0
2018.0
2073.0
2109.0
2128.0
2146.0
2196.0
2250.0
2317.0
2339.0
2407.0
2387.0
2451.0
2541.0
2612.0
2727.0
2847.0
2943.0
3004.0
3149.0
3207.0
3313.0
3417.0
3530.0
3643.0
3775.0
3891.0
4000.0
4206.0
4345.0
4570.0
4672.0
4738.0
4797.0
4910.0
5171.0
5405.0
5518.0
5603.0
5770.0
6000.0
6108.0
6273.0
6476.0
6724.0
6861.0
6990.0
7188.0
7470.0
7703.0
7852.0
8083.0
8355.0
8524.0
8656.0
8787.0
9054.0
9272.0
9422.0
9746.0
9880.0
10043.0
10233.0
10536.0
10660.0
10769.0
10881.0
10980.0
11053.0
11130.0
11190.0
11271.0
11399.0
11481.0
11536.0
11621.0
11696.0
11771.0
11842.0
11941.0
11968.0
12021.0
12093.0
12157.0
12272.0
12365.0
12427.0
12498.0
12551.0
12645.0
12732.0
12821.0
12908.0
12977.0
13036.0
13055.0
13127.0
13192.0
13300.0
13355.0
13411.0
